Code,Tiempo,Escalas(m),Datos1(°C),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Temperature,09:08:26,1549,6,11,4,---,---,
Starboard Temperature,09:09:03,1549,4,11,4,---,---,
Starboard Temperature,09:09:40,1549,6,11,3,---,---,
Starboard Temperature,09:10:17,1549,9,11,4,---,---,
Starboard Temperature,09:10:54,1549,6,11,3,---,---,
Starboard Temperature,09:11:31,1549,5,11,4,---,---,
Starboard Temperature,09:12:08,1549,4,11,3,---,---,
Starboard Temperature,09:12:45,1549,4,11,4,---,---,
Starboard Temperature,09:13:22,1549,3,11,4,---,---,
Starboard Temperature,09:13:59,1549,5,11,3,---,---,
Starboard Temperature,09:14:36,1549,7,11,4,---,---,
Starboard Temperature,09:15:13,1549,3,11,4,---,---,
Starboard Temperature,09:15:51,1549,8,11,4,---,---,
Starboard Temperature,09:16:28,1549,1,11,4,---,---,
Starboard Temperature,09:17:05,1549,0,11,4,---,---,
Starboard Temperature,09:17:42,1549,4,11,4,---,---,
Starboard Temperature,09:18:19,1549,3,11,4,---,---,
Starboard Temperature,09:18:56,1549,8,11,4,---,---,
Starboard Temperature,09:19:33,1549,1,11,4,---,---,
Starboard Temperature,09:20:10,1549,7,11,4,---,---,
Starboard Temperature,09:20:47,1549,4,11,4,---,---,
Starboard Temperature,09:21:25,1549,3,11,4,---,---,
Starboard Temperature,09:22:03,1549,7,11,3,---,---,
Starboard Temperature,09:22:40,1549,3,11,4,---,---,
Starboard Temperature,09:23:17,1549,6,11,4,---,---,
Starboard Temperature,09:23:54,1550,1,11,4,---,---,
Starboard Temperature,09:24:31,1549,7,11,3,---,---,
Starboard Temperature,09:25:08,1549,1,11,4,---,---,
Starboard Temperature,09:25:45,1549,2,11,4,---,---,
Starboard Temperature,09:26:22,1549,1,11,3,---,---,
Starboard Temperature,09:26:59,1548,9,11,3,---,---,
Starboard Temperature,09:27:36,1550,1,11,3,---,---,
Starboard Temperature,09:28:13,1549,1,11,4,---,---,
Starboard Temperature,09:28:50,1548,9,11,3,---,---,
Starboard Temperature,09:29:27,1549,2,11,3,---,---,
Starboard Temperature,09:30:04,1549,0,11,3,---,---,
Starboard Temperature,09:30:41,1549,0,11,4,---,---,
Starboard Temperature,09:31:18,1549,2,11,3,---,---,
Starboard Temperature,09:31:56,1549,2,11,3,---,---,
Starboard Temperature,09:32:33,1549,3,11,3,---,---,
Starboard Temperature,09:33:10,1549,2,11,3,---,---,
Starboard Temperature,09:33:47,1548,9,11,3,---,---,
Starboard Temperature,09:34:24,1548,9,11,3,---,---,
Starboard Temperature,09:35:01,1549,3,11,3,---,---,
Starboard Temperature,09:35:38,1549,4,11,3,---,---,
Starboard Temperature,09:36:15,1549,1,11,3,---,---,
Starboard Temperature,09:36:53,1549,1,11,4,---,---,
Starboard Temperature,09:37:30,1549,2,11,3,---,---,
Starboard Temperature,09:38:07,1549,2,11,3,---,---,
