Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
D20C,08:59:31,909,1,---,---,---,---,---,
D20C,08:59:54,909,0,---,---,---,---,---,
D20C,09:00:17,910,1,Off,---,---,---,---,
D20C,09:00:41,909,8,Off,---,---,---,---,
D20C,09:01:05,910,2,Off,---,---,---,---,
D20C,09:01:28,909,9,Off,---,---,---,---,
D20C,09:01:51,910,2,Off,---,---,---,---,
D20C,09:02:13,911,4,Off,---,---,---,---,
D20C,09:02:38,909,9,Off,---,---,---,---,
D20C,09:03:03,910,5,Off,---,---,---,---,
D20C,09:03:26,910,6,Off,---,---,---,---,
D20C,09:03:50,909,9,Off,---,---,---,---,
D20C,09:04:14,910,6,Off,---,---,---,---,
D20C,09:04:39,910,2,Off,---,---,---,---,
D20C,09:05:04,910,3,Off,---,---,---,---,
D20C,09:05:30,910,2,---,---,---,---,---,
D20C,09:05:52,911,1,Off,---,---,---,---,
D20C,09:06:16,909,7,Off,---,---,---,---,
D20C,09:06:42,---,---,---,---,---,---,
D20C,09:07:05,909,9,---,---,---,---,---,
D20C,09:07:26,910,6,Off,---,---,---,---,
D20C,09:07:50,909,5,Off,---,---,---,---,
D20C,09:08:14,910,1,---,---,---,---,---,
D20C,09:08:39,---,---,---,---,---,---,
D20C,09:09:00,910,1,Off,---,---,---,---,
D20C,09:09:22,910,3,Off,---,---,---,---,
D20C,09:09:45,909,4,Off,---,---,---,---,
D20C,09:10:09,910,4,Off,---,---,---,---,
D20C,09:10:32,908,7,Off,---,---,---,---,
D20C,09:10:55,909,4,Off,---,---,---,---,
D20C,09:11:19,909,2,Off,---,---,---,---,
D20C,09:11:42,910,1,Off,---,---,---,---,
D20C,09:12:05,910,0,Off,---,---,---,---,
D20C,09:12:29,910,0,Off,---,---,---,---,
D20C,09:12:53,910,5,---,---,---,---,---,
D20C,09:13:15,914,0,Off,---,---,---,---,
D20C,09:13:39,909,9,Off,---,---,---,---,
D20C,09:14:03,910,2,Off,---,---,---,---,
D20C,09:14:26,910,7,Off,---,---,---,---,
D20C,09:14:49,909,9,Off,---,---,---,---,
D20C,09:15:12,910,4,Off,---,---,---,---,
D20C,09:15:36,913,4,Off,---,---,---,---,
D20C,09:16:02,---,---,---,---,---,---,
D20C,09:16:24,---,---,---,---,---,---,
D20C,09:16:48,941,6,Off,---,---,---,---,
D20C,09:17:11,946,1,Off,---,---,---,---,
D20C,09:17:35,946,1,Off,---,---,---,---,
D20C,09:17:58,945,9,Off,---,---,---,---,
D20C,09:18:25,---,---,---,---,---,---,
D20C,09:18:46,946,1,Off,---,---,---,---,
D20C,09:19:11,948,7,Off,---,---,---,---,
D20C,09:19:34,946,1,Off,---,---,---,---,
D20C,09:19:57,946,7,Off,---,---,---,---,
D20C,09:20:20,945,6,Off,---,---,---,---,
D20C,09:20:44,946,1,Off,---,---,---,---,
D20C,09:21:08,945,4,Off,---,---,---,---,
D20C,09:21:32,949,2,---,---,---,---,---,
D20C,09:21:53,946,1,Off,---,---,---,---,
D20C,09:22:17,946,4,Off,---,---,---,---,
D20C,09:22:39,946,3,Off,---,---,---,---,
D20C,09:23:03,946,7,---,---,---,---,---,
D20C,09:23:25,946,7,---,---,---,---,---,
D20C,09:23:46,946,1,Off,---,---,---,---,
D20C,09:24:13,---,---,---,---,---,---,
D20C,09:24:34,946,9,Off,---,---,---,---,
D20C,09:24:58,950,3,Off,---,---,---,---,
D20C,09:25:23,949,7,Off,---,---,---,---,
D20C,09:25:46,947,0,Off,---,---,---,---,
D20C,09:26:10,946,4,Off,---,---,---,---,
D20C,09:26:36,947,2,---,---,---,---,---,
D20C,09:27:01,---,---,---,---,---,---,
D20C,09:27:22,946,3,Off,---,---,---,---,
D20C,09:27:45,946,6,Off,---,---,---,---,
D20C,09:28:09,947,7,Off,---,---,---,---,
D20C,09:28:32,947,3,Off,---,---,---,---,
D20C,09:28:54,946,9,Off,---,---,---,---,
D20C,09:29:18,946,7,Off,---,---,---,---,
D20C,09:29:42,947,1,Off,---,---,---,---,
D20C,09:30:07,945,9,Off,---,---,---,---,
D20C,09:30:30,947,3,Off,---,---,---,---,
D20C,09:30:53,947,1,Off,---,---,---,---,
D20C,09:31:16,945,8,Off,---,---,---,---,
D20C,09:31:40,946,6,Off,---,---,---,---,
D20C,09:32:02,947,0,Off,---,---,---,---,
D20C,09:32:26,946,9,---,---,---,---,---,
D20C,09:32:48,947,3,Off,---,---,---,---,
D20C,09:33:11,946,3,Off,---,---,---,---,
D20C,09:33:36,945,7,Off,---,---,---,---,
D20C,09:33:59,946,1,Off,---,---,---,---,
D20C,09:34:23,946,3,Off,---,---,---,---,
D20C,09:34:48,946,7,Off,---,---,---,---,
D20C,09:35:11,946,3,Off,---,---,---,---,
D20C,09:35:34,946,7,Off,---,---,---,---,
D20C,09:36:01,945,7,Off,---,---,---,---,
D20C,09:36:23,946,5,Off,---,---,---,---,
D20C,09:36:47,945,7,Off,---,---,---,---,
D20C,09:37:11,946,8,Off,---,---,---,---,
D20C,09:37:34,947,2,Off,---,---,---,---,
D20C,09:37:58,946,5,Off,---,---,---,---,
D20C,09:38:22,947,2,Off,---,---,---,---,
D20C,09:38:45,946,1,Off,---,---,---,---,
D20C,09:39:10,946,2,Off,---,---,---,---,
D20C,09:39:33,946,7,Off,---,---,---,---,
D20C,09:39:56,946,4,Off,---,---,---,---,
D20C,09:40:20,946,7,Off,---,---,---,---,
D20C,09:40:45,947,1,Off,---,---,---,---,
D20C,09:41:08,947,7,---,---,---,---,---,
D20C,09:41:30,947,0,Off,---,---,---,---,
D20C,09:41:53,947,1,Off,---,---,---,---,
