[NOTUS TEXTFILE V3.3]
File Created: 26-nov-2019 16:17:27
Tow Date: 15-sep-2013 10:39:47


Transponder: C56S
Placement: Estribor

Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
C56S,13:58:53,674,4,24,1,---,---,---,---,
C56S,13:59:19,674,7,23,3,---,---,---,---,
C56S,13:59:46,674,5,23,4,---,---,---,---,
C56S,14:00:07,674,3,23,3,---,---,---,---,
C56S,14:00:32,674,8,23,4,---,---,---,---,
C56S,14:00:57,674,3,23,4,---,---,---,---,
C56S,14:01:21,674,3,23,9,---,---,---,---,
C56S,14:01:46,674,2,23,3,---,---,---,---,
C56S,14:02:11,673,8,24,1,---,---,---,---,
C56S,14:02:35,673,9,23,9,---,---,---,---,
C56S,14:03:00,675,1,24,2,---,---,---,---,
C56S,14:03:27,675,4,23,7,---,---,---,---,
C56S,14:03:52,661,9,24,9,---,---,---,---,
C56S,14:04:20,---,---,---,---,---,---,
C56S,14:04:50,---,---,---,---,---,---,
C56S,14:05:18,---,---,---,---,---,---,
C56S,14:05:47,---,---,---,---,---,---,
C56S,14:06:12,485,2,23,7,---,---,---,---,
C56S,14:06:38,455,7,23,4,---,---,---,---,
C56S,14:07:08,---,---,---,---,---,---,
C56S,14:07:32,396,0,23,0,---,---,---,---,
C56S,14:07:59,364,3,22,2,---,---,---,---,
C56S,14:08:24,333,1,22,7,---,---,---,---,
C56S,14:08:52,296,3,19,7,---,---,---,---,
C56S,14:09:18,262,2,16,6,---,---,---,---,
C56S,14:09:43,233,4,12,0,---,---,---,---,
C56S,14:10:08,203,0,9,1,---,---,---,---,
C56S,14:10:35,170,4,10,4,---,---,---,---,
C56S,14:11:00,142,7,11,9,---,---,---,---,
C56S,14:11:25,113,4,13,2,---,---,---,---,
C56S,14:11:50,86,5,13,1,---,---,---,---,
C56S,14:12:15,61,1,11,3,---,---,---,---,
C56S,14:12:40,37,2,8,4,---,---,---,---,
C56S,14:13:05,21,2,6,4,---,---,---,---,
