[NOTUS TEXTFILE V3.3]
File Created: 13-nov-2019 19:22:49
Tow Date: 14-sep-2011 2:28:20


Transponder: E48D
Placement: Estribor
Depth Calibration: 1500

Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
E48D,02:28:28,---,---,---,---,---,---,
E48D,05:29:26,891,6,---,---,---,---,---,
E48D,05:29:49,907,4,278,0,---,---,---,---,
E48D,05:30:14,922,3,273,1,---,---,---,---,
E48D,05:30:38,937,7,266,0,---,---,---,---,
E48D,05:31:08,---,---,---,---,---,---,
E48D,05:31:31,960,9,256,1,---,---,---,---,
E48D,05:31:56,970,3,252,7,---,---,---,---,
E48D,05:32:21,977,8,249,0,---,---,---,---,
E48D,05:32:46,984,4,245,7,---,---,---,---,
E48D,05:33:11,989,7,243,3,---,---,---,---,
E48D,05:33:37,994,5,241,8,---,---,---,---,
E48D,05:34:02,997,5,240,6,---,---,---,---,
E48D,05:34:28,1000,7,242,2,---,---,---,---,
E48D,05:34:52,1002,9,242,1,---,---,---,---,
E48D,05:35:16,1005,6,242,7,---,---,---,---,
E48D,05:35:39,1006,3,244,5,---,---,---,---,
E48D,05:36:03,1015,9,250,3,---,---,---,---,
E48D,05:36:28,1023,6,251,7,---,---,---,---,
