Code,Tiempo,Escalas(m),Datos1(°C),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Temperature,05:47:17,1689,5,12,1,---,---,
Starboard Temperature,05:47:58,---,-1,7,---,---,---,
Starboard Temperature,05:48:41,---,---,---,---,---,---,
Starboard Temperature,05:49:22,---,---,---,---,---,---,
Starboard Temperature,05:50:04,---,---,---,---,---,---,
Starboard Temperature,05:50:43,1692,4,11,8,---,---,
Starboard Temperature,05:51:26,---,---,---,---,---,---,
Starboard Temperature,05:52:08,1692,3,11,8,---,---,
Starboard Temperature,05:52:50,---,---,---,---,---,---,
Starboard Temperature,05:53:33,---,---,---,---,---,---,
Starboard Temperature,05:54:15,---,---,---,---,---,---,
Starboard Temperature,05:54:56,---,---,---,---,---,---,
Starboard Temperature,05:55:39,---,---,---,---,---,---,
Starboard Temperature,05:56:23,---,---,---,---,---,---,
Starboard Temperature,05:57:04,1693,0,11,6,---,---,
Starboard Temperature,05:57:46,---,---,---,---,---,---,
Starboard Temperature,05:58:28,---,---,---,---,---,---,
Starboard Temperature,05:59:09,1693,1,11,6,---,---,
Starboard Temperature,05:59:52,1693,2,11,4,---,---,
Starboard Temperature,06:00:33,1693,3,11,5,---,---,
Starboard Temperature,06:01:12,1693,4,11,3,---,---,
Starboard Temperature,06:01:54,---,---,---,---,---,---,
